Rank ▾,Percentile,Pilot Name,Games Played,W/L Ratio,Survive Rate,K/D Ratio,Average Score,Adjusted Score,Progress,Light,Medium,Heavy,Assault
Retired,,TheDarkEvo,966,1.08,29%,1.1,272,276,,26%,26%,22%,18%
Not Found,,Gerb,,,,,,,,%,%,%,%
Retired,,Saiclopz,148,0.85,15%,0.48,176,111.4,,7%,16%,26%,45%
Retired,,Bolt115,1622,1.09,28%,1.19,266,272.7,,27%,26%,28%,10%
Retired,,07th ZaIn [2d20],2833,1.12,18%,0.64,233,246.3,,49%,22%,13%,11%
Retired,,beerions [2d20],4015,1.04,30%,0.87,243,249.4,,27%,19%,34%,16%
Retired,,jep00,2007,0.79,28%,0.58,173,133.2,,1%,23%,47%,22%
Retired,,StuffYouFear [BTD],6178,1.41,39%,1.33,268,280.4,,38%,26%,14%,12%
Retired,,dottore04 [CTFR],1076,0.85,16%,0.34,153,153.7,,1%,11%,49%,26%
Retired,,Mitaine23 [CTFR],3645,1.02,29%,1.18,260,260,,14%,8%,14%,58%
Retired,,optimus prime 7,162,1.19,17%,0.7,242,162.1,,0%,27%,50%,12%
Retired,,Foy5,23942,0.96,21%,0.82,240,252.1,,10%,32%,31%,25%
Retired,,Jean Courage,471,1,26%,1,292,281.2,,11%,27%,29%,21%
Retired,,Mono Lithian [CDU],2067,0.91,26%,0.76,199,216.4,,22%,34%,16%,7%
Retired,,The Jewce Iz Loose [DP-S],9219,1.62,40%,1.65,328,367.5,,2%,14%,38%,43%
Not Found,,Lord Corvin,,,,,,,,%,%,%,%
Not Found,,Mr.Flextape,,,,,,,,%,%,%,%
Retired,,Dithiolium [256],10717,1.12,38%,1.46,292,305.7,,54%,16%,19%,8%
Retired,,Heer [228],10308,1.15,35%,1.04,245,250.6,,23%,35%,20%,19%
Retired,,LAHIRE [256],4673,0.94,35%,1.45,260,259.2,,5%,11%,29%,49%
Retired,,Cupid and Psyche,52,1.17,42%,1.7,269,83.3,,23%,33%,0%,0%
Retired,,KH Slaine [OP-4],10602,0.89,27%,0.9,253,289.3,,15%,21%,37%,24%
Retired,,HankRearden [SBRS],2143,1.06,28%,1.01,255,249.1,,0%,5%,42%,47%
Not Found,,Grater Authority,,,,,,,,%,%,%,%
Not Found,,Phat Samurai [SBRS],,,,,,,,%,%,%,%
Not Found,,Phartknocker,,,,,,,,%,%,%,%
Not Found,,AH_Its_Skeletor,,,,,,,,%,%,%,%
Retired,,Wraith Darkstar [BPL],2980,0.92,19%,0.67,219,224.3,,6%,11%,42%,27%
Not Found,,theginningthief,,,,,,,,%,%,%,%
Retired,,FSuperfly [BPL],8045,0.84,28%,0.88,244,263.6,,29%,30%,31%,7%
Retired,,milsurp mephostophiles [BPL],4093,1,28%,0.94,239,242.4,,17%,19%,20%,37%
Not Found,,canopus_cat,,,,,,,,%,%,%,%
Retired,,Sushi Destructo [BPL],929,1.05,29%,1,266,260.7,,2%,2%,27%,53%
Retired,,tangoforone [BPL],1826,0.92,23%,0.66,233,251.8,,16%,28%,15%,22%
Retired,,0FsU0Slayer,1441,1.08,29%,1.34,253,279,,85%,5%,2%,5%
Retired,,Dani130,1583,1.05,27%,0.86,235,234.2,,9%,2%,16%,64%
Retired,,DimitriusVoldun,2632,0.78,16%,0.5,180,179.7,,21%,8%,21%,50%
Retired,,xXTraitorXx [TuF],8439,1.15,34%,1.42,274,270.4,,24%,15%,23%,33%
Retired,,kyle112199 [CR1T],2045,1.15,34%,1.16,255,260.4,,14%,16%,28%,27%
Not Found,,Valdar,,,,,,,,%,%,%,%
Not Found,,GravelNeck,,,,,,,,%,%,%,%
Not Found,,Hadriel,,,,,,,,%,%,%,%
Not Found,,DustyHoward,,,,,,,,%,%,%,%
Retired,,CalicoDragon,2003,1.05,28%,1.05,240,242.9,,16%,25%,19%,32%
Retired,,Shaze Darkflame [2d20],5829,0.92,38%,1.19,257,255.6,,5%,22%,46%,22%
Retired,,Taeryr [2d20],2035,1.17,39%,1.6,331,339.5,,33%,21%,18%,21%
Retired,,IndgoMan [2d20],12820,1.32,37%,1.64,299,298.1,,8%,19%,44%,27%
Retired,,B1ight [SRoT],88,1.15,36%,1.21,265,121.4,,0%,0%,81%,14%
Retired,,maghorn,1682,0.91,22%,0.67,201,162.9,,0%,1%,1%,96%
Not Found,,GenderlessDeity,,,,,,,,%,%,%,%
Retired,,FoeFyre [AW],4358,1.03,32%,1.27,294,292.4,,8%,17%,56%,14%
Retired,,Alex545 [AW],5761,1.42,47%,2.26,341,349.9,,5%,33%,46%,11%
Retired,,Cosmoses,5316,1.21,34%,1.4,296,296.1,,13%,22%,34%,27%
Retired,,Ktula Matata [AW],6367,1.16,24%,0.72,239,238.5,,9%,15%,60%,12%
Retired,,CaptainIvan,1763,1,26%,0.81,223,225.6,,5%,26%,37%,23%
Not Found,,Archon Ent,,,,,,,,%,%,%,%
Retired,,Zuul the Burninator [AW],8010,1.29,33%,1.2,295,293.8,,5%,32%,31%,31%
Retired,,Not Bob [AW],3174,1.78,48%,2.56,381,385.2,,3%,29%,32%,24%
Retired,,OpticSeagull [SRoT],17376,1.07,31%,0.99,238,240.1,,6%,23%,28%,42%
Retired,,Tux,38,5.33,50%,1.26,172,,,13%,50%,37%,0%
Retired,,Metafox [SRoT],1916,1.36,41%,1.4,272,274.9,,12%,45%,19%,5%
Retired,,Manxfire,8029,1.05,31%,0.98,258,252.5,,7%,24%,41%,25%
Retired,,Throe [CR1T],5439,1.12,34%,1.16,279,284.9,,7%,17%,52%,16%
Retired,,Faek [C-XF],3813,1.08,34%,1.27,246,261.6,,45%,27%,19%,3%
Retired,,TotallyNotBiased,1153,1.55,40%,1.26,305,304.8,,19%,12%,30%,36%
Not Found,,Liveish,,,,,,,,%,%,%,%
Retired,,King Crab IIC,50,0.67,36%,1.03,221,64,,0%,40%,0%,32%
Retired,,Pizzle Whip [256],5413,1.13,33%,1.2,258,257.7,,3%,17%,34%,43%
Retired,,Midavl,1086,1.12,41%,1.34,287,290,,12%,75%,7%,0%
Retired,,Psychonix,1411,0.96,24%,0.87,242,246.9,,25%,22%,24%,12%
Retired,,Boomeagle,643,1,36%,1.16,261,259,,4%,16%,25%,29%
